id,question1_en,question2_en,question2_fr,is_duplicate
35,Why do some people think Obama will try to take their guns away?,Has there been a gun control initiative to take away guns people already own?,Y a-t-il eu une initiative de contrôle des armes à feu pour enlever les armes que les gens possèdent déjà?,0
36,I'm a 19-year-old. How can I improve my skills or what should I do to become an entrepreneur in the next few years?,I am a 19 year old guy. How can I become a billionaire in the next 10 years?,Je suis un gars de 19 ans. Comment puis-je devenir milliardaire dans les 10 prochaines années?,0
37,"When a girlfriend asks her boyfriend ""Why did you choose me? What makes you want to be with me?"", what should one reply to her?",My girlfriend said that we should end this because she is confused about her feelings for me. I wished her well and disconnected. Should I call her and ask her if she wants to get back together?,Ma petite amie a dit que nous devrions mettre fin à cela parce qu'elle est confuse à propos de ses sentiments pour moi. Je lui ai souhaité bonne chance et déconnecté. Dois-je l'appeler et lui demander si elle veut revenir ensemble?,0
38,How do we prepare for UPSC?,How do I prepare for civil service?,Comment me préparer à la fonction publique?,1
39,What is the stall speed and AOA of an f-14 with wings fully swept back?,"Why did aircraft stop using variable-sweep wings, like those on an F-14?","Pourquoi les avions ont-ils cessé d'utiliser des ailes à balayage variable, comme celles d'un F-14?",0
40,Why do Slavs squat?,Will squats make my legs thicker?,Les squats vont-ils rendre mes jambes plus épaisses?,0
41,When can I expect my Cognizant confirmation mail?,When can I expect Cognizant confirmation mail?,Quand puis-je attendre le mail de confirmation Cognizant?,0
42,"Can I make 50,000 a month by day trading?","Can I make 30,000 a month by day trading?",Est-ce que je peux gagner 30 000 dollars par jour?,0
43,Is being a good kid and not being a rebel worth it in the long run?,Is being bored good for a kid?,S'ennuyer est-il bon pour un enfant?,0
44,What universities does Rexnord recruit new grads from? What majors are they looking for?,What universities does B&G Foods recruit new grads from? What majors are they looking for?,Quelles universités B & G Foods recrute-t-elle de nouveaux diplômés? Que cherchent les majors?,0
45,What is the quickest way to increase Instagram followers?,How can we increase our number of Instagram followers?,Comment pouvons-nous augmenter le nombre de nos abonnés Instagram?,0
46,How did Darth Vader fought Darth Maul in Star Wars Legends?,Does Quora have a character limit for profile descriptions?,Est-ce que Quora a une limite de caractères pour les descriptions de profil?,0
47,"What are the stages of breaking up between couple? I mean, what happens after the breaking up emotionally whether its a male or female?","Who is affected more by a breakup, the boy or the girl?","Qui est plus affecté par une rupture, le garçon ou la fille?",0
48,What are some examples of products that can be make from crude oil?,What are some of the products made from crude oil?,Quels sont certains des produits fabriqués à partir de pétrole brut?,1
49,How do I make friends.,How to make friends ?,Comment se faire des amis ?,1
50,Is Career Launcher good for RBI Grade B preparation?,How is career launcher online program for RBI Grade B?,Comment le programme en ligne de lanceur de carrière pour le grade B de RBI?,1
51,"Will a Blu Ray play on a regular DVD player? If so, how?",How can you play a Blu Ray DVD on a regular DVD player?,Comment pouvez-vous lire un DVD Blu Ray sur un lecteur de DVD classique?,1
52,Nd she is always sad?,Aerodynamically what happens when propellor rotates?,"Aérodynamique, que se passe-t-il lorsque l’hélice tourne?",0
53,What is the best/most memorable thing you've ever eaten and why?,What is the most delicious dish you've ever eaten and why?,Quel est le plat le plus délicieux que vous ayez jamais mangé et pourquoi?,1
54,How GST affects the CAs and tax officers?,Why can't I do my homework?,Pourquoi je ne peux pas faire mes devoirs?,0
55,How difficult is it get into RSI?,Do you apply for programs like RSI when you're a rising senior?,Est-ce que vous postulez à des programmes tels que RSI lorsque vous êtes un senior?,0
56,Who is israil friend?,Is my boyfriend lying about his true feelings for his friend and is he secretly attracted to her?,Est-ce que mon copain ment à propos de ses vrais sentiments pour son ami et est-il secrètement attiré par elle?,0
57,What are some good rap songs to dance to?,What are some of the best rap songs?,Quelles sont les meilleures chansons de rap?,0
58,I was suddenly logged off Gmail. I can't remember my Gmail password and just realized the recovery email is no longer alive. What can I do?,I can't remember my Gmail password or my recovery email. How can I recover my e-mail?,Je ne me souviens plus de mon mot de passe Gmail ou de mon email de récupération. Comment récupérer mon courrier électronique?,1
59,What are the best ways to learn French?,How do I learn french genders?,Comment apprendre le français?,0
60,How do I download content from a kickass torrent without registration?,Is Kickass Torrents trustworthy?,Est-ce que Kickass Torrents est digne de confiance?,0
61,Is it normal to have a dark ring around the iris of my eye?,What causes a dark ring around the iris? How should it be treated?,Qu'est-ce qui cause un anneau sombre autour de l'iris? Comment devrait-il être traité?,0
62,How is the new Harry Potter book 'Harry Potter and the Cursed Child'?,How bad is the new book by J.K Rowling?,Quelle est la gravité du nouveau livre de J.K Rowling?,1
63,Why do I always get depressed?,Why do I always get depressed in the evening?,Pourquoi suis-je toujours déprimé le soir?,0
64,Where can I find a European family office database?,Where do I find a U.S. family office database?,Où puis-je trouver une base de données de family office américain?,0
65,What is Java programming? How To Learn Java Programming Language ?,How do I learn a computer language like java?,Comment apprendre un langage informatique comme le java?,1
66,What is the best book ever made?,What is the most important book you have ever read?,Quel est le livre le plus important que vous ayez lu?,1
67,Can we ever store energy produced in lightning?,Is it possible to store the energy of lightning?,Est-il possible de stocker l'énergie de la foudre?,1
68,What is your review of Performance Testing?,What is performance testing?,Qu'est-ce qu'un test de performance?,0
69,At what cost does so much privacy as in Germany come? What else is lost to gain so much privacy?,Are there any people who genuinely enjoy salad with no dressing?,Y a-t-il des gens qui aiment vraiment la salade sans vinaigrette?,0
70,What are the types of immunity?,What are the different types of immunity in our body?,Quels sont les différents types d'immunité dans notre corps?,0
71,What is a narcissistic personality disorder?,What is narcissistic personality disorder?,Qu'est-ce que le trouble de la personnalité narcissique?,1
72,How I can speak English fluently?,How can I learn to speak English fluently?,Comment puis-je apprendre à parler anglais couramment?,1
73,How helpful is QuickBooks' auto data recovery support phone number to recover your corrupted data files?,What is the quickbooks customer support phone number USA?,Quel est le numéro de téléphone du support client quickbooks USA?,1
74,Who is the richest gambler of all time and how can I reach his level?,Who is the richest gambler of all time and how can I reach his level as a gambler?,Qui est le joueur le plus riche de tous les temps et comment puis-je atteindre son niveau de joueur?,1
75,If I fire a bullet backward from an aircraft going faster than the bullet; will the bullet be going backwards?,"Do bullets travel faster than the speed of sound when shot from a gun? If not, is it possible? If they do, what gun and how much devastation occurs?","Les balles voyagent-elles plus vite que la vitesse du son lorsqu'elles sont tirées depuis une arme à feu? Si non, est-ce possible? S'ils le font, quel pistolet et quelle dévastation se produit?",0
76,How do I prevent breast cancer?,Is breast cancer preventable?,Le cancer du sein est-il évitable?,0
77,How do I log out of my Gmail account on my friend's phone?,How can I know who logged in to my Gmail account? (by telling his IP address or device name)?,Comment puis-je savoir qui s'est connecté à mon compte Gmail? (en indiquant son adresse IP ou le nom de l'appareil)?,0
78,How can I make money through the Internet?,"What are some different ways to make money online, excluding selling things?","Quelles sont les différentes façons de gagner de l'argent en ligne, à l'exclusion de la vente de choses?",0
79,What is purpose of life?,What's the purpose of life? What is life actually about?,Quel est le but de la vie? De quoi parle la vie?,1
80,When will the BJP government strip all the Muslims and the Christians of the Indian citizenship and put them on boats like the Rohingya's of Burma?,"Why India does not apply the ""Burma-Rohingya model"" to deport illegal Bangladeshis?","Pourquoi l'Inde n'applique pas le ""modèle Birmanie-Rohingya"" pour expulser les Bangladais illégaux?",0
81,What is the right etiquette for wishing a Jehovah Witness happy birthday?,How important is it to be the first person to wish someone a happy birthday?,Dans quelle mesure est-ce important d'être le premier à souhaiter un joyeux anniversaire à quelqu'un?,0
82,"If someone wants to open a commercial FM radio station in any city of India, how much does it cost and what is the procedure?","I want to make a travel commercial/clip video HD , For India and New Zealand. How much will it cost?","Je veux faire un spot de voyage / clip vidéo HD, pour l'Inde et la Nouvelle-Zélande. Combien ça coûtera?",0
83,Why do Swiss despise Asians?,Why do technical employees despise sales people so much?,Pourquoi les employés techniques méprisent-ils tellement les vendeurs?,0
84,What are some of the high salary income jobs in the field of biotechnology?,What are some high paying jobs for a fresher with an M.Tech in biotechnology?,Quels sont les emplois bien rémunérés pour une plus récente avec un M.Tech en biotechnologie?,1
85,How can I increase my height after 21 also?,Can height increase after 25?,La taille peut-elle augmenter après 25?,1
86,"What were the major effects of the cambodia earthquake, and how do these effects compare to the Kamchatca earthquakes in 1952?","What were the major effects of the cambodia earthquake, and how do these effects compare to the Valparaiso earthquake in 1822?",Quels ont été les principaux effets du séisme au Cambodge et comment ces effets se comparent-ils au tremblement de terre de Valparaiso en 1822?,1
87,What is the difference between sincerity and fairness?,What's the difference between honest and sincere?,Quelle est la différence entre honnête et sincère?,0
88,Which is the best gaming laptop under 60k INR?,Which is the best gaming laptop under Rs 60000?,Quel est le meilleur ordinateur portable de jeu sous Rs 60000?,1
89,What is your review of The Next Warrior: Proving Grounds - Part 9?,What is your review of The Next Warrior: Proving Grounds - Part 5?,Quel est votre avis sur The Next Warrior: Proving Grounds - Part 5?,0
90,What is the best reference book for physics class 11th?,"Which book should I choose for reference for physics and chemistry (class 11, CBSE board)?","Quel livre choisir pour référence en physique et en chimie (classe 11, board CBSE)?",0
91,"National Institute of Technology, Kurukshetra: How is the social life at NITK, Surathkal?","National Institute of Technology Karnataka (NITK) , Surathkal: To the graduating batch: What lessons would you want to give to your juniors before you leave?","Institut National de Technologie Karnataka (NITK), Surathkal: Au lot de finissants: Quelles leçons souhaiteriez-vous donner à vos juniors avant votre départ?",0
92,What are some of the best romantic movies in English?,What is the best romantic movie you have ever seen?,Quel est le meilleur film romantique que vous ayez jamais vu?,1
93,What causes a nightmare?,What causes nightmares that seem real?,Quelles sont les causes des cauchemars qui semblent réels?,1
94,What is abstract expressionism in painting?,What are some of the major influences of abstract expressionism?,Quelles sont certaines des influences majeures de l'expressionnisme abstrait?,0
95,How does 3D printing work?,How do 3D printing work?,Comment fonctionne l'impression 3D?,1
96,What was it like to attend Caltech with Jeremy Ehrhardt?,Who are some notable folks who attended Caltech?,Qui sont des gens remarquables qui ont assisté à Caltech?,0
97,Why did harry become a horcrux?,What is a Horcrux?,Qu'est ce qu'un Horcruxe?,0
98,What are the best associate product manager (APM) programs that someone in their early 20s can join to learn product management and have a rewarding career in the company?,What are the general requirement to become a Product Manager or a Program Manager in a product based software company?,Quelles sont les conditions générales requises pour devenir chef de produit ou responsable de programme dans une société de logiciels basée sur des produits?,0
99,Why is the number for Skype at 1-855-425-3768 always busy?,How could I get Skype to work on an android 4.1.1 phone?,Comment pourrais-je faire fonctionner Skype sur un téléphone Android 4.1.1?,0
100,Will there really be any war between India and Pakistan over the Uri attack? What will be its effects?,Will there be a nuclear war between India and Pakistan?,Y aura-t-il une guerre nucléaire entre l'Inde et le Pakistan?,1
101,Did Ronald Reagan have a mannerism in his speech?,How did Ronald Reagan react to 9/11?,Comment Ronald Reagan a-t-il réagi au 11 septembre?,0
102,What were the war strategies of the Union and the Confederates during the Civil War?,How could the Confederates have possibly defeated Union forces at Gettysburg during the American Civil War?,Comment les Confédérés ont-ils pu vaincre les forces de l'Union à Gettysburg pendant la guerre civile américaine?,0
103,Which is the best fiction novel of 2016?,Which are some of the best fiction novels?,Quels sont les meilleurs romans de fiction?,0
104,Can I recover my email if I forgot the password?,What should I do if I forgot my email password?,Que dois-je faire si j'ai oublié mon mot de passe e-mail?,1
105,Will the recent demonetisation results in higher GDP? If so how much?,How demonetisation could affect the GDP of India in both short run and long run?,Comment la démonétisation pourrait-elle affecter le PIB de l'Inde à court et à long terme?,0
106,Have you ever heard of travel hacking?,Can WhatsApp be hacked?,WhatsApp peut-il être piraté?,0
107,What's the difference between love and pity?,What is the difference between love and pity?,Quelle est la différence entre l'amour et la pitié?,1
108,How competitive is the hiring process at Republic Bank?,How competitive is the hiring process at S & T Bank?,Quel est le degré de compétitivité du processus d'embauche chez S & T Bank?,0
109,How Google helps in spam ranking adjustment of the search results?,"What is the distribution of traffic between Google organic search results? e.g. #1 vs. #2 in rankings, first page vs. second page","Quelle est la répartition du trafic entre les résultats de recherche Google organiques? par exemple. # 1 vs. # 2 dans les classements, première page vs. deuxième page",0
110,Where can I watch gonulcelen with english subtitles?,Where can I watch sarrainodu with subtitles?,Où puis-je regarder sarrainodu avec des sous-titres?,0
111,Is USA the most powerful country of the world?,Why is the USA the most powerful country of the world?,Pourquoi les Etats-Unis sont-ils le pays le plus puissant du monde?,0
112,How do you obtain an instant ulcer pain relief?,What is better for a low back pain: heat or ice?,Quoi de mieux pour une douleur au bas du dos: chaleur ou glace?,0
113,What do you think China food?,How do you think of Chinese food?,Comment pensez-vous de la nourriture chinoise?,1
114,What does taking advantage of someone mean?,Is it worse to take advantage of someone or be materialistic?,Est-ce pire de profiter de quelqu'un ou d'être matérialiste?,0
115,Why do we cry when we are happy and when we are sad?,Why do we cry?,Pourquoi on pleure?,0
116,Why do some girls like to stick their their tongues out when taking pictures?,Why do teen girls (and women in general) allow their boyfriends to take naked pictures of them in this day and (digital) age?,Pourquoi les adolescentes (et les femmes en général) autorisent-elles leurs petits amis à prendre des photos nues de leur âge et de leur âge (numérique)?,0
117,"Did you find the ending of the novel ""1984"" depressing?","How do Winston and Julia differ in the novel ""1984""? How are they similar?","Comment Winston et Julia diffèrent-ils dans le roman ""1984""? Comment sont-ils similaires?",0
118,What are some mind-blowing computer tools that exist that most people don't know about?,What are some mind-blowing technologies that exist that most people don't know about?,Quelles sont les technologies époustouflantes que la plupart des gens ne connaissent pas?,0
119,Should the toothbrush be wet or dry before applying the toothpaste?,What is the cheapest toothpaste?,Quel est le dentifrice le moins cher?,0
120,Why my question was marked as needing imrovement?,How can I ask a question without getting marked as ‘need to improve’?,Comment puis-je poser une question sans être marqué comme «besoin d'améliorer»?,1
121,What is the difference between a neutral state and a buffer state?,"If every state of the USA declared war against each other, which would win?","Si tous les Etats-Unis déclaraient la guerre l'un à l'autre, qui gagnerait?",0
122,What mineral holds the highest electrical charge?,What mineral can hold the greatest electrical charge?,Quel minéral peut contenir la plus grande charge électrique?,1
123,What is the greatest mystery in the universe?,What is the greatest mystery of all time?,Quel est le plus grand mystère de tous les temps?,0
124,What is the alternative to machine learning?,How do I over-sample a multi-class imbalance data set?,Comment suréchantillonner un ensemble de données de déséquilibre multi-classes?,0
125,"Why does China block sanctions at the UN against the Jaish-e-Mohammad (JeM) chief, Masood Azhar?",Why does China support Masood Azhar?,Pourquoi la Chine soutient-elle Masood Azhar?,1
126,What is the mean of future budget?,What is the meaning of the future?,Quelle est la signification du futur?,0
127,Can excessive amounts of Vitamin C cause me to have a miscarriage?,How can Vitamin C cause a miscarriage?,Comment la vitamine C peut-elle provoquer une fausse couche?,1
128,What is it like to work in Asahi India Glass? What will be the pay scale after one or two years?,When will we get the Call Letter after we get the Letter of Intent in Asahi India Glass recruitment?,Quand recevrons-nous la lettre d'appel après réception de la lettre d'intention relative au recrutement dans Asahi India Glass?,0
129,How do I access Torbox in India?,How do I access Google.com from India?,Comment accéder à Google.com depuis l'Inde?,0
130,What are some yakshini mantras?,What is a Yantra & Mantra?,Qu'est-ce qu'un Yantra & Mantra?,0
131,Was six party talks successful?,Which course is better in NICMAR?,Quel cours est le meilleur dans NICMAR?,0
132,How do I register my domain site email?,How do you register a .an domain?,Comment enregistrez-vous un domaine .an?,0
133,Is it normal for older men to be attracted to young women?,Why am I attracted to older men?,Pourquoi suis-je attiré par les hommes plus âgés?,0
134,What is the strongest structure or strongest shape under compression?,What is the strongest Kevlar cord?,Quel est le plus fort cordon de Kevlar?,0
135,Who are the Rohingya Muslims?,Who are the Rohingya people?,Qui sont les Rohingya?,1
136,Does it matter whether humans are selfish or evil?,Does it matter whether humanity is evil or not?,Est-ce important que l'humanité soit méchante ou non?,1
137,Are exocytosis and endocytosis examples of active or passive transport?,What are examples of passive transport in cells?,Quels sont les exemples de transport passif dans les cellules?,0
138,How i get hair on bald head?,"If I shave my head for 2 years as am getting bald and then grew my hair, will the hair will be same as when I intially have? Or I loose more hair?","Si je me rase la tête pendant 2 ans alors que je deviens chauve puis que je me suis fait pousser les cheveux, les cheveux seront-ils les mêmes que ceux que j'ai initialement? Ou je perds plus de cheveux?",0
139,What is the ideal life after retirement?,What's life after retirement?,Qu'est-ce que la vie après la retraite?,0
140,What is our stance against Pakistan?,What is the stance of Pakistan in the possession of weapons of mass destruction by North korea? Does it support DPRK or is it against DPRK?,Quelle est la position du Pakistan dans la possession d'armes de destruction massive par la Corée du Nord? Soutient-il la RPDC ou est-ce contre la RPDC?,0
141,What are good websites for escorts?,How do I find a good escort?,Comment trouver une bonne escorte?,0
142,Which one is better polo diesel or grand i10 petrol?,What is the best diet for a growing decathlete?,Quel est le meilleur régime alimentaire pour un décathlonien en pleine croissance?,0
143,Does a black hole have mass?,Does a black hole have a finite mass?,Un trou noir a-t-il une masse finie?,1
144,"Is Morgan Freeman correct when he says the only way to stop racism, is to stop talking about it?",What are your views about this Morgan Freeman quote about Racism?,Que pensez-vous de cette citation de Morgan Freeman sur le racisme?,1
145,Does Fab currently offer new employees stock options or RSUs?,Does Uber currently offer new employees stock options or RSUs?,Uber propose-t-il actuellement aux nouveaux employés des options d’achat d’actions ou des UAR?,0
146,How would you review the site Waveclues?,Is there a good pay for reviews site out there?,Y a-t-il un bon salaire pour les commentaires sur le site?,0
147,In how many ways can we distribute 10 identical looking pencils to 4 students so that each student gets at least one pencil?,In how many ways 12 apples can be distributed among 4 children such that every child gets at least 2 apples?,"De combien de façons 12 pommes peuvent-elles être réparties entre 4 enfants, de sorte que chaque enfant reçoive au moins 2 pommes?",0
148,How much would it cost to hire Jerry Seinfeld for 1-2 hours?,How much on average would it cost to video tape a 2 hour presentation?,Combien en moyenne coûterait-il à une bande vidéo une présentation de 2 heures?,0
149,Is 7 days too late for rabies vaccine after a possible non-bite exposure?,Can I take rabies injection after 1 day of dog bite?,Puis-je prendre une injection de rage après 1 jour de morsure de chien?,0
150,How many years Britain ruled India?,What is the standard amount of time off given for an international relocation?,Quel est le délai standard accordé pour une réinstallation internationale?,0
151,How can I stop being afraid of working?,How do you stop being afraid of everything?,Comment arrêtez-vous d'avoir peur de tout?,0
152,Why does Red keep the keys in OITNB?,Why does Red keep the keys in season 4 of Orange is the New Black?,Pourquoi Red garde-t-il les clés de la saison 4 d'Orange est le New Black?,1
153,At what age should someone lose their virginity?,"At what age, how, and where did you lose your virginity?","À quel âge, comment et où avez-vous perdu votre virginité?",0
154,How forgetful are you?,How can I forget my wife?,Comment puis-je oublier ma femme?,0
155,Could Snoke secretly be Darth Maul?,How could Snoke be Darth Plagueis if he was killed by Emperor Palpatine?,Comment Snoke pourrait-il être Dark Plagueis s'il était tué par l'empereur Palpatine?,0
156,"If I do not monetize YouTube videos & upload copyright content, then are there chances that Google may block my account?",How do you upload movies on YouTube and monetize them? Is there any issue of copyright,Comment télécharger des films sur YouTube et les monétiser? Y at-il un problème de droit d'auteur,1
157,Would you switch from Canon 6D to Leica D-LUX 109?,What tripod should I get for my Canon 6D?,Quel trépied devrais-je obtenir pour mon Canon 6D?,0
158,What does the Quora website look like to members of Quora moderation?,How does Quora look to a moderator?,Comment Quora se tourne-t-il vers un modérateur?,1
159,Why nobody answer my questions in Quora?,Why is no one answering my questions in Quora?,Pourquoi personne ne répond à mes questions dans Quora?,1
160,What is the funniest joke you know?,What is the funniest joke of all time?,Quelle est la blague la plus drôle de tous les temps?,1
161,"I got job offer @ Chelmsford-Essex, London with £3764 PM pay-after tax deduction. Pls advice tentative monthly expenses for couple? & saving possible?","If I am leaving Norway, can I pay down my mortgage with my BSU account, and then sell my apartment without having to pay back the tax deduction I got for having BSU?","Si je quitte la Norvège, puis-je rembourser mon hypothèque avec mon compte BSU, puis vendre mon appartement sans avoir à rembourser la déduction fiscale que j'ai obtenue pour avoir BSU?",0
162,What are stereotypes about the United Kingdom?,What do Americans think about the United Kingdom?,Que pensent les Américains du Royaume-Uni?,0
163,How do I use Twitter as a business source?,How can I use Twitter for business?,Comment puis-je utiliser Twitter pour les entreprises?,1
164,How can I transfer money from Skrill to a PayPal account?,How can I send money from my PayPal account to my Skrill account to withdraw?,Comment puis-je envoyer de l'argent de mon compte PayPal à mon compte Skrill pour le retirer?,0
165,Which is the best earphone with deep bass under 1000?,Which is the Best earphones under Rs 1000?,Quel est le meilleur écouteur sous Rs 1000?,1
166,Are government employees eligible to Sukanya Samrudi Yojana?,Can a Government employee apply IEC?,Un employé du gouvernement peut-il appliquer la CEI?,0
167,Which is correct - 'Looking forward to speak with you' or 'Look forward to speak with you'?,"Which is correct: ""speak with"" or ""speak to""?","Lequel est correct: ""parler avec"" ou ""parler à""?",0
168,Which are the best engineering fields?,What is the best field of engineering?,Quel est le meilleur domaine de l'ingénierie?,1
169,How do you make life suit you and stop life from abusing you mentally and emotionally?,"Why are emotionally abusive people in my life? Several ex boyfriends, friends, and past coworkers/bosses have been abusers. Do I attract them?","Pourquoi les personnes émotionnellement abusives dans ma vie? Plusieurs ex-petits amis, amis et anciens collègues / patrons ont été des abuseurs. Est-ce que je les attire?",0
170,What is the difference between gross salary and CTC?,"There seems to be a difference between my weekly paycheck and the yearly salary my employer agreed upon, how does that work?","Il semble y avoir une différence entre mon salaire hebdomadaire et le salaire annuel convenu par mon employeur, comment cela fonctionne-t-il?",0
171,Which are the prospering towns in Kerala?,Why are there so many Christians in Kerala?,Pourquoi y a-t-il tant de chrétiens au Kerala?,0
172,What is the best way to gain confidence?,How can I speak with more clarity and confidence?,Comment puis-je parler avec plus de clarté et de confiance?,0
173,Does anyone see the relation between Greek gods and Hindu gods?,"What parallelism can we draw between gods of Hindu mythology, Greek mythology, Egyptian mythology, etc.?","Quel parallélisme pouvons-nous établir entre les dieux de la mythologie hindoue, la mythologie grecque, la mythologie égyptienne, etc.?",1
174,How do I switch from Apple Music to Spotify?,Should I switch from Spotify to Apple Music?,Dois-je passer de Spotify à Apple Music?,0
175,Which is the best fixed income fund?,What is the best fixed income fund?,Quel est le meilleur fonds à revenu fixe?,1
176,What is it like to live in Cologne?,"What is it like to live in Köln, Germany? ","Comment est la vie à Cologne, en Allemagne?",1
177,"Between Robert De Niro and Al Pacino, who is more successful?","Who do you regard as the best actor, Robert De Niro or Al Pacino?","Qui considérez-vous comme le meilleur acteur, Robert De Niro ou Al Pacino?",0
178,Why does some people prefer small families.?,Why do some people prefer to live with small family?,Pourquoi certaines personnes préfèrent-elles vivre avec une petite famille?,1
179,Do animals kiss?,Do animals (besides humans) kiss?,Est-ce que les animaux (à part les humains) s'embrassent?,1
180,How do you get deleted Instagram chats?,How can I view deleted Instagram dms?,Comment puis-je afficher les dms Instagram supprimés?,1
181,How can I stop being addicted to love?,How do I stop being addicted to someone?,Comment puis-je cesser d'être accro à quelqu'un?,0
182,What if I hired two private eyes and ordered them to follow each other?,Would I be able to hire two private investigators and then get them to follow each other?,Serais-je capable d'engager deux enquêteurs privés et de les amener ensuite à se suivre?,1
